RegionCode,RegionName,MethodCode,TravelMethod,Observation
E12000001,North East,1,Work mainly at or from home,282172
E12000001,North East,2,"Underground, metro, light rail, tram",10649
E12000001,North East,3,Train,6531
E12000001,North East,4,"Bus, minibus or coach",54868
E12000001,North East,5,Taxi,11873
E12000001,North East,6,"Motorcycle, scooter or moped",2762
E12000001,North East,7,Driving a car or van,592874
E12000001,North East,8,Passenger in a car or van,57668
E12000001,North East,9,Bicycle,16089
E12000001,North East,10,On foot,88091
E12000001,North East,11,Other method of travel to work,14476
E12000001,North East,12,Not in employment or aged 15 years and under,1508957
E12000002,North West,1,Work mainly at or from home,913829
E12000002,North West,2,"Underground, metro, light rail, tram",19803
E12000002,North West,3,Train,37881
E12000002,North West,4,"Bus, minibus or coach",144376
E12000002,North West,5,Taxi,38856
E12000002,North West,6,"Motorcycle, scooter or moped",11186
E12000002,North West,7,Driving a car or van,1661538
E12000002,North West,8,Passenger in a car or van,154251
E12000002,North West,9,Bicycle,57624
E12000002,North West,10,On foot,267791
E12000002,North West,11,Other method of travel to work,34608
E12000002,North West,12,Not in employment or aged 15 years and under,4075652
E12000003,Yorkshire and The Humber,1,Work mainly at or from home,637370
E12000003,Yorkshire and The Humber,2,"Underground, metro, light rail, tram",3900
E12000003,Yorkshire and The Humber,3,Train,21030
E12000003,Yorkshire and The Humber,4,"Bus, minibus or coach",109745
E12000003,Yorkshire and The Humber,5,Taxi,28026
E12000003,Yorkshire and The Humber,6,"Motorcycle, scooter or moped",8778
E12000003,Yorkshire and The Humber,7,Driving a car or van,1253536
E12000003,Yorkshire and The Humber,8,Passenger in a car or van,121906
E12000003,Yorkshire and The Humber,9,Bicycle,47760
E12000003,Yorkshire and The Humber,10,On foot,204643
E12000003,Yorkshire and The Humber,11,Other method of travel to work,24676
E12000003,Yorkshire and The Humber,12,Not in employment or aged 15 years and under,3019405
E12000004,East Midlands,1,Work mainly at or from home,586025
E12000004,East Midlands,2,"Underground, metro, light rail, tram",5417
E12000004,East Midlands,3,Train,10629
E12000004,East Midlands,4,"Bus, minibus or coach",73595
E12000004,East Midlands,5,Taxi,15607
E12000004,East Midlands,6,"Motorcycle, scooter or moped",8932
E12000004,East Midlands,7,Driving a car or van,1209617
E12000004,East Midlands,8,Passenger in a car or van,113595
E12000004,East Midlands,9,Bicycle,44716
E12000004,East Midlands,10,On foot,182625
E12000004,East Midlands,11,Other method of travel to work,21566
E12000004,East Midlands,12,Not in employment or aged 15 years and under,2607730
E12000005,West Midlands,1,Work mainly at or from home,676936
E12000005,West Midlands,2,"Underground, metro, light rail, tram",4740
E12000005,West Midlands,3,Train,28775
E12000005,West Midlands,4,"Bus, minibus or coach",109894
E12000005,West Midlands,5,Taxi,29931
E12000005,West Midlands,6,"Motorcycle, scooter or moped",9093
E12000005,West Midlands,7,Driving a car or van,1396152
E12000005,West Midlands,8,Passenger in a car or van,133762
E12000005,West Midlands,9,Bicycle,38436
E12000005,West Midlands,10,On foot,185913
E12000005,West Midlands,11,Other method of travel to work,25256
E12000005,West Midlands,12,Not in employment or aged 15 years and under,3311868
E12000006,East of England,1,Work mainly at or from home,966487
E12000006,East of England,2,"Underground, metro, light rail, tram",18366
E12000006,East of England,3,Train,69954
E12000006,East of England,4,"Bus, minibus or coach",61931
E12000006,East of England,5,Taxi,16936
E12000006,East of England,6,"Motorcycle, scooter or moped",13632
E12000006,East of England,7,Driving a car or van,1445280
E12000006,East of England,8,Passenger in a car or van,114537
E12000006,East of England,9,Bicycle,70857
E12000006,East of England,10,On foot,219725
E12000006,East of England,11,Other method of travel to work,30935
E12000006,East of England,12,Not in employment or aged 15 years and under,3306433
E12000007,London,1,Work mainly at or from home,1836823
E12000007,London,2,"Underground, metro, light rail, tram",431842
E12000007,London,3,Train,231074
E12000007,London,4,"Bus, minibus or coach",386068
E12000007,London,5,Taxi,22544
E12000007,London,6,"Motorcycle, scooter or moped",30404
E12000007,London,7,Driving a car or van,897111
E12000007,London,8,Passenger in a car or van,63883
E12000007,London,9,Bicycle,128833
E12000007,London,10,On foot,279453
E12000007,London,11,Other method of travel to work,52040
E12000007,London,12,Not in employment or aged 15 years and under,4439651
E12000008,South East,1,Work mainly at or from home,1603079
E12000008,South East,2,"Underground, metro, light rail, tram",8734
E12000008,South East,3,Train,98706
E12000008,South East,4,"Bus, minibus or coach",113131
E12000008,South East,5,Taxi,20854
E12000008,South East,6,"Motorcycle, scooter or moped",22226
E12000008,South East,7,Driving a car or van,1976300
E12000008,South East,8,Passenger in a car or van,156802
E12000008,South East,9,Bicycle,86468
E12000008,South East,10,On foot,340737
E12000008,South East,11,Other method of travel to work,44742
E12000008,South East,12,Not in employment or aged 15 years and under,4806285
E12000009,South West,1,Work mainly at or from home,818531
E12000009,South West,2,"Underground, metro, light rail, tram",1265
E12000009,South West,3,Train,13321
E12000009,South West,4,"Bus, minibus or coach",75929
E12000009,South West,5,Taxi,8257
E12000009,South West,6,"Motorcycle, scooter or moped",17194
E12000009,South West,7,Driving a car or van,1319538
E12000009,South West,8,Passenger in a car or van,100997
E12000009,South West,9,Bicycle,63427
E12000009,South West,10,On foot,248004
E12000009,South West,11,Other method of travel to work,25871
E12000009,South West,12,Not in employment or aged 15 years and under,3008852
W92000004,Wales,1,Work mainly at or from home,350470
W92000004,Wales,2,"Underground, metro, light rail, tram",595
W92000004,Wales,3,Train,11559
W92000004,Wales,4,"Bus, minibus or coach",31448
W92000004,Wales,5,Taxi,7606
W92000004,Wales,6,"Motorcycle, scooter or moped",4642
W92000004,Wales,7,Driving a car or van,772621
W92000004,Wales,8,Passenger in a car or van,66045
W92000004,Wales,9,Bicycle,15081
W92000004,Wales,10,On foot,96676
W92000004,Wales,11,Other method of travel to work,11702
W92000004,Wales,12,Not in employment or aged 15 years and under,1739043
